Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh.1,Biofuels consumption - TWh.1,Solar consumption - TWh.1,Wind consumption - TWh.1,Hydro consumption - TWh.1,Nuclear consumption - TWh.1,Gas consumption - TWh.1,Coal consumption - TWh.1,Oil consumption - TWh.1
Belgium,BEL,2023.0,1.7279513882777406,1.3310139489934785,2.965076596545847,6.342379938577238,0.1587065712266206,12.783770699771337,21.34702348342271,4.266642663046215,49.07743471013882,11.094539,8.54595,19.037664,40.722084,1.0189964,82.07988,137.06137,27.39454,315.10812
Bulgaria,BGR,2000.0,0.0,0.0,0.0,0.0,3.578957965378076,23.728498248626806,15.672411854918384,33.67127285413792,23.34885907693881,0.0,0.0,0.0,0.0,7.7798386,51.580345,34.06825,73.19367,50.755096
Bulgaria,BGR,2001.0,0.0,0.0,0.0,0.0,2.159837027751955,24.54571594510856,12.753079461955892,37.1507137499093,23.39065381527429,0.0,0.0,0.0,0.0,4.850288,55.121655,28.639248,83.42836,52.527763
Bulgaria,BGR,2002.0,0.0,0.0,0.0,0.0,2.8352461636361226,26.000853412559287,11.656807805056602,35.26918621025849,24.237906408489497,0.0,0.0,0.0,0.0,6.176254,56.639835,25.393,76.82982,52.79946
Bulgaria,BGR,2003.0,0.0,0.0,0.0,0.0,3.85434758826637,21.339597733704032,11.907119174030596,38.170556224564045,24.728379279434947,0.0,0.0,0.0,0.0,8.685871,48.08933,26.832998,86.018326,55.726036
Bulgaria,BGR,2004.0,0.0,0.0,0.0,0.0013223681626395,4.150682002967084,21.337307321244214,12.022461141368662,37.71945394577793,24.76877322047947,0.0,0.0,0.0,0.002881639,9.04496,46.4972,26.19875,82.19636,53.97488
Bulgaria,BGR,2005.0,0.0,0.0,0.0,0.0055634372450457,5.212226412174963,21.709597065350067,13.83566213251383,34.10201622570327,25.13493472701283,0.0,0.0,0.0,0.013134471,12.305313,51.25322,32.663998,80.50993,59.339947
Bulgaria,BGR,2006.0,0.0,0.0,0.0,0.0236982624192074,4.980294408076006,22.112268269602307,13.982910274405295,33.96321023233474,24.93761855316244,0.0,0.0,0.0,0.057041943,11.987616,53.22444,33.656998,81.74977,60.025085
Bulgaria,BGR,2007.0,0.0,0.0,7.29270369199e-05,0.0568855416037536,3.439540375375085,17.07874322588496,14.580059198704715,39.53304281840281,25.31165591299176,0.0,0.0,0.00016965721,0.13233833,8.001735,39.73193,33.919,91.969536,58.88495
Bulgaria,BGR,2008.0,0.0215361809474356,0.0089261983384926,0.00020383677908,0.148615011422129,3.408718309208941,18.464930084449826,14.73403988801448,38.07810604431173,25.13492444652789,0.04958139,0.020550223,0.00046928055,0.34214696,7.847677,42.510643,33.92125,87.66482,57.86655
Bulgaria,BGR,2009.0,0.0116912102506142,0.0305148524198473,0.0045143418575561,0.3274995231103109,4.741947113425525,20.22902551988989,12.005427271202231,36.512127338537695,26.137252829306338,0.023628695,0.061672498,0.009123778,0.6618978,9.583783,40.884174,24.263748,73.79338,52.825085
Bulgaria,BGR,2010.0,0.0531940275822747,0.0874822669427781,0.0195104126579956,0.8943033919780717,6.603684102402594,19.20579516044125,12.636595201228362,37.85243970871751,22.64699572804916,0.11249,0.18499972,0.041258886,1.8911933,13.964884,40.614708,26.722748,80.046974,47.891853
Bulgaria,BGR,2011.0,0.079215763188887,0.0869437081277923,0.1238802465576401,1.057610475597163,3.526920817915596,19.22753205384333,13.621366464339763,41.91521064051223,20.36131982991759,0.17792389,0.19528137,0.2782433,2.3754637,7.9216995,43.18632,30.594498,94.14436,45.732883
Bulgaria,BGR,2012.0,0.0984562123491177,0.4574767790064601,1.0003993473907766,1.568501157796059,4.082343846536225,19.459803968374608,13.359176810639504,37.68385083053398,22.28999104737327,0.21013331,0.9763844,2.1351342,3.3476236,8.7128725,41.532707,28.512249,80.42796,47.573124
Bulgaria,BGR,2013.0,0.18000801489933,0.6402750741224787,1.914985991709376,1.8895696398619009,5.552600552734367,18.70765378809118,13.90350651853262,34.89282555257674,22.318574867472016,0.3566108,1.268438,3.793746,3.7433941,11.000162,37.061413,27.543999,69.12558,44.214947
Bulgaria,BGR,2014.0,0.3029865874379509,0.5959162211204857,1.609257767259601,1.7039268652683774,5.892812046465044,19.498185507442187,12.933800921378952,34.90973331700985,22.553380766617543,0.64096916,1.2606628,3.4043903,3.6046631,12.466264,41.248478,27.3615,73.85166,47.711754
Bulgaria,BGR,2015.0,0.3838722363261164,0.7420395897563438,1.656029896141134,1.739750585401767,6.777415093424493,17.692781244192386,13.353855846932564,33.93109576850534,23.72315973931985,0.86248577,1.6672177,3.720775,3.908879,15.227525,39.752216,30.0035,76.23653,53.301296
