Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
European Union (27),,2002,0.7447237375162773,0.05849778450586978,0.004656496299631945,0.5608544547541647,5.060244581198861,13.848648386301598,20.492983159173807,18.134471936139324,41.09491946411047,135.91243,10.675873,0.84981275,102.3562,923.497,2527.3848,3739.979,3309.5496,7499.842
European Union (27),,2003,0.8325591691109678,0.07282111357223868,0.006884804949623257,0.6757722825322713,4.788657801219797,13.586612191334934,21.214140063803118,18.41711180173135,40.40544077174571,154.70326,13.531367,1.2793106,125.569664,889.8118,2524.6172,3941.938,3422.2039,7507.999
European Union (27),,2004,0.983317989870796,0.10342261416535141,0.011041185911953685,0.8791796099755379,4.98088184748096,13.624126820041344,21.477653083388574,17.84653447528281,40.09384237388267,185.33368,19.492874,2.0810192,165.7059,938.786,2567.8464,4048.0623,3363.6768,7556.802
European Union (27),,2005,1.1194208760667652,0.16779626741636297,0.022421972235381327,1.0340514555954692,4.668309534930278,13.352913748309199,22.20342696867607,17.250821388273415,40.180837788497065,211.08878,31.64128,4.228103,194.9907,880.3014,2517.954,4186.892,3252.981,7576.8857
European Union (27),,2006,1.2644827066136168,0.2693020307080654,0.03788689726202572,1.1802496170538346,4.665475145802621,13.158319283332848,21.99362643222031,17.60091649645119,39.829741390555476,239.95813,51.10486,7.189714,223.9734,885.35706,2497.0256,4173.6826,3340.0876,7558.4033
European Union (27),,2007,1.4274188563334052,0.40777504900048456,0.057703785219924544,1.506458339201254,4.6618231814999875,12.62004632256914,21.889061103664982,17.986619843370683,39.44309351914015,267.69534,76.473335,10.821655,282.51825,874.2692,2366.7388,4105.0317,3373.1755,7397.0806
European Union (27),,2008,1.5949909236688342,0.5442319615213007,0.11321894207268962,1.7032495677835262,4.92581827606531,12.774302572801178,22.4368933008844,16.73721057201518,39.17008388318759,297.97046,101.671455,21.151155,318.19495,920.22363,2386.4492,4191.5796,3126.7854,7317.614
European Union (27),,2009,1.8586637034054767,0.6999258672309735,0.22644999744992225,1.9770179202971612,5.249702373801344,12.587728961534719,22.41796421234619,15.770266379113373,39.21228058482085,326.4195,122.92135,39.769268,347.20493,921.9555,2210.6636,3937.0547,2769.5825,6886.4814
European Union (27),,2010,2.0354581782459062,0.7548439830310609,0.3544463415212908,2.1139578029409933,5.675572585110873,12.44101370624932,23.149132759100546,15.897959587304513,37.57761505649548,372.1328,138.00441,64.80168,386.4845,1037.637,2274.5293,4232.242,2906.5457,6870.1304
European Union (27),,2011,2.236510140685158,0.8327289396500516,0.726096779497872,2.562145466604031,4.775169531293313,12.498228673738584,21.95332963641771,16.876962576848076,37.5388282552652,396.86166,147.76512,128.84358,454.64462,847.33875,2217.7712,3895.549,2994.7637,6661.1465
