DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2017,332654378,be,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2018,332030265,e,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2019,331737039,b,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2015,336259333,be,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2016,336072451,be,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2017,335327674,be,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2018,334638206,e,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2019,334294545,b,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,European Free Trade Association,2015,9189527,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,European Free Trade Association,2016,9265941,,
ESTAT:DEMO_PJANBROAD(1.0),04/11/24 23:00:00,Annual,Number,From 15 to 64 years,Total,European Free Trade Association,2017,9337151,,
